,station_code,station_actual,station_new,Zone,State,Name,Longitude,Latitude
0,KW,KHERVADI,KHERVADI Maharashtra,Central Railway,Maharashtra,"Kherwadi, Maharashtra 402126, India",73.1965421,18.4886915
0,BRTK,BHORTEX,BHORTEX Maharashtra,Western Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,MGLP,Mangolpuri,Mangolpuri Delhi,Northern Railway,Delhi,"Mangolpuri, Delhi, India",77.0916394,28.6922954
0,DEP,Depalsar,Depalsar Rajasthan,North Western Railway,Rajasthan,"Depalsar, Rajasthan, India",74.9314622,28.2412404
0,KGM,Kathgodam,Kathgodam Uttarakhand,North Eastern Railway,Uttarakhand,"Kathgodam, Haldwani, Uttarakhand, India",79.5441198,29.2693264
0,DJX,Dungripali,Dungripali Odisha,East Coast Railway,Odisha,"Dunguripali, Odisha 767023, India",83.5509886,21.0475445
0,KTPR,Kathal Pukhuri,Kathal Pukhuri Assam,North Frontier Railway,Assam,"Kathal Pukhuri, Assam 787023, India",93.9712626,27.1748655
0,GNJ,GUNJI,GUNJI Karnataka,South Western Railway,Karnataka,"Gunji, Karnataka, India",74.4818698,15.5355687
0,NIR,Nenpur,Nenpur Madhya Pradesh,South East Central Railway,Madhya Pradesh,"Nainpur, Madhya Pradesh 481776, India",80.1095601,22.4266058
0,DHNE,Dhone,Dhone Andhra Pradesh,South Central Railway,Andhra Pradesh,"Dhone, Andhra Pradesh 518222, India",77.8732414,15.3960427
0,DBV,Dabilpur,Dabilpur Telangana,South Central Railway,Telangana,"Dabilpur, Telangana 501401, India",78.4702215,17.6666986
0,DKRA,DHUANKHERI,DHUANKHERI Madhya Pradesh,West Central Railway,Madhya Pradesh,"Dhuankheri, Madhya Pradesh 465680, India",76.783333,23.566667
0,CMY,Chintamani,Chintamani Karnataka,South Western Railway,Karnataka,"Chintamani, Karnataka 563125, India",78.0551384,13.4019689
0,YL,Yeola,Yeola Maharashtra,Central Railway,Maharashtra,"Yeola, Maharashtra 423401, India",74.4839523,20.0432004
0,PSDA,Pasivedala,Pasivedala Andhra Pradesh,South Central Railway,Andhra Pradesh,"Pasivedala, Andhra Pradesh, India",81.7005492,16.9954122
0,CTT,Chitrasani,Chitrasani Gujarat,North Western Railway,Gujarat,"Chitrasani, Gujarat 385010, India",72.483507,24.26778
0,SAO,Sagoni,Sagoni Madhya Pradesh,West Central Railway,Madhya Pradesh,"Sagoni, Madhya Pradesh 470664, India",79.8043513,23.7884896
0,SPO,Surpura,Surpura Rajasthan,North Western Railway,Rajasthan,"Surpura, Rajasthan, India",73.1172573,26.3616977
0,BMH,Betamcherla,Betamcherla Andhra Pradesh,South Central Railway,Andhra Pradesh,"Betamcherla, Andhra Pradesh, India",78.1518436,15.4575887
0,MNDH,Mandir Hasaud,Mandir Hasaud Chhatisgarh,East Coast Railway,Chhatisgarh,"Mandir Hasaud, Chhattisgarh 492101, India",81.7654962,21.2237351
0,BSBR,Banshlai Bridge,Banshlai Bridge West Bengal,Eastern Railway,West Bengal,"West Bengal, India",87.8549755,22.9867569
0,DKE,Dihakho,Dihakho Assam,North Frontier Railway,Assam,"Dihakho, Assam 788832, India",93.12641,25.4295
0,NR,BAKAYANWALA,BAKAYANWALA Maharashtra,Central Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,SRAS,Siras,Siras Rajasthan,North Western Railway,Rajasthan,"Siras, Rajasthan 304021, India",76.0162836,26.2671647
0,NIM,NIMDIH,NIMDIH Jharkhand,South Eastern Railway,Jharkhand,"Nimdih, Jharkhand 832401, India",86.1459216,22.9917487
0,KDM,Kesamudram,Kesamudram Telangana,South Central Railway,Telangana,"Kesamudram, Telangana 506112, India",79.8914931,17.692218
0,CHH,Chaukhandi,Chaukhandi Uttar Pradesh,Northern Railway,Uttar Pradesh,"Chaukhandi, Uttar Pradesh, India",79.7385854,28.2179861
0,BQU,BHATTIPROLU,BHATTIPROLU Andhra Pradesh,Eastern Railway,Andhra Pradesh,"Bhattiprolu, Andhra Pradesh, India",80.7845272,16.1038105
0,DJHR,Deojhar,Deojhar Odisha,South Eastern Railway,Odisha,"Deojhar, Odisha 758035, India",85.4659195,22.1131076
0,PTKC,Pathankot Cantt,Pathankot Cantt Punjab,Northern Railway,Punjab,"Pathankot Cantt, Pathankot, Punjab 145001, India",75.6368143,32.2593932
0,AH,Achhnera Jn,Achhnera Jn Uttar Pradesh,North Central Railway,Uttar Pradesh,"Achhnera, Uttar Pradesh 283101, India",77.7537913,27.1773695
0,RMD,Ramanathapuram,Ramanathapuram Tamil Nadu,Southern Railway,Tamil Nadu,"Ramanathapuram, Tamil Nadu, India",78.8394819,9.3639356
0,SPF,Stuartpuram,Stuartpuram Andhra Pradesh,South Central Railway,Andhra Pradesh,"Stuartpuram, Chirala, Andhra Pradesh, India",80.4062219,15.8666854
0,GMIA,Gumia,Gumia Jharkhand,East Central Railway,Jharkhand,"Gumia, Jharkhand, India",85.8238938,23.8012672
0,JES,JAITSAR,JAITSAR Rajasthan,North Western Railway,Rajasthan,"Jaitsar, Rajasthan 342025, India",72.2186128,26.5924847
0,AS,Arjansar,Arjansar Rajasthan,North Western Railway,Rajasthan,"Arjansar, Rajasthan, India",73.8673254,28.9330858
0,JN,Malkera Jn,Malkera Jn Gujarat,Western Railway,Gujarat,"Gujarat, India",71.5723953,22.6708317
0,CHR,Chilkahar,Chilkahar Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Chilkahar, Uttar Pradesh 221701, India",83.9664886,25.824744
0,NSD,Nasirabad,Nasirabad Rajasthan,North Western Railway,Rajasthan,"Nasirabad, Rajasthan 305601, India",74.7340627,26.3017564
0,LNN,Lonand,Lonand Maharashtra,Central Railway,Maharashtra,"Lonand, Maharashtra 415521, India",74.1861821,18.041706
0,PIRO,PIRO,PIRO Bihar,East Central Railway,Bihar,"Piro, Bihar 802207, India",84.4015075,25.3258049
0,NTW,Nanjangud Town,Nanjangud Town Karnataka,South Western Railway,Karnataka,"Nanjangud, Karnataka, India",76.678249,12.1159697
0,SVD,Sarwari,Sarwari Maharashtra,South Central Railway,Maharashtra,"Maharashtra, India",75.7138884,19.7514798
0,DR,Dadar,Dadar Maharashtra,Central Railway,Maharashtra,"Dadar, Mumbai, Maharashtra, India",72.847812,19.0177989
0,DSO,Deshnok,Deshnok Rajasthan,North Western Railway,Rajasthan,"Deshnok, Rajasthan 334801, India",73.3438385,27.7967826
0,KTHU,Kathua,Kathua Jammu And Kashmir,Northern Railway,Jammu And Kashmir,Kathua,75.5173465,32.3863082
0,SBRA,Sarbahara,Sarbahara Chhatisgarh,South East Central Railway,Chhatisgarh,"Sarbahra, Chhattisgarh 495119, India",81.9405875,22.7587416
0,BIX,Bhind,Bhind Madhya Pradesh,North Central Railway,Madhya Pradesh,"Bhind, Madhya Pradesh, India",78.7860916,26.5637768
0,GDYA,Ghoradongri,Ghoradongri Madhya Pradesh,Central Railway,Madhya Pradesh,"Ghoradongri, Madhya Pradesh 460443, India",77.9995589,22.1240168
0,DSM,DARASURAM,DARASURAM Tamil Nadu,Southern Railway,Tamil Nadu,"Dharasuram, Kumbakonam, Tamil Nadu, India",79.3550041,10.9492797
0,GMDN,GiriMaidan,GiriMaidan West Bengal,South Eastern Railway,West Bengal,"Giri Maidan Brg, Kharagpur, West Bengal 721301, India",87.3067658,22.3417246
0,TLC,Talchhapar,Talchhapar Rajasthan,North Western Railway,Rajasthan,"Chhapar, Rajasthan 331502, India",74.4379073,27.8185932
0,AKT,Akaltara,Akaltara Chhatisgarh,South East Central Railway,Chhatisgarh,"Akaltara, Chhattisgarh 495552, India",82.4264982,22.0265467
0,PH,Govindpur Road,Govindpur Road Himachal Pradesh,Northern Railway,Himachal Pradesh,"Himachal Pradesh, India",77.5619419,32.1024076
0,MURD,MAHWA,MAHWA Rajasthan,North Central Railway,Rajasthan,"Mahwa, Rajasthan 321608, India",76.9260755,27.046209
0,PT,Patli,Patli Haryana,Northern Railway,Haryana,"Patli, Haryana, India",76.8555198,28.3984385
0,KPJG,KEREJANGA,KEREJANGA Odisha,East Coast Railway,Odisha,"Kerjanga, Odisha 759119, India",85.2178957,21.4102776
0,NKB,Nagrakota,Nagrakota West Bengal,North Frontier Railway,West Bengal,"Nagrakata, West Bengal 735225, India",88.9117463,26.8882081
0,RD,Ram Dayalu Nagr,Ram Dayalu Nagr Bihar,East Central Railway,Bihar,"Ramdayalu Nagar, Bhikanpur Dih, Muzaffarpur, Bihar, India",85.3835568,26.0948533
0,MYL,MALLIYALA,MALLIYALA Andhra Pradesh,South Central Railway,Andhra Pradesh,"Malyala, Andhra Pradesh 518401, India",78.2376466,15.886533
0,BVV,BEDETTI,BEDETTI Assam,North Frontier Railway,Assam,"Assam, India",92.9375739,26.2006043
0,NWN,NANWAN,NANWAN Haryana,North Western Railway,Haryana,"Nanwan, Haryana, India",76.0072749,28.3794151
0,KUND,KUND,KUND Haryana,North Western Railway,Haryana,"Kund, Haryana 123102, India",76.394749,28.1458911
0,AMNA,Aman Lodge,Aman Lodge ,Central Railway,,"Aman Lodge, Matheran, Maharashtra 410102, India",73.2761675,18.9970097
0,DHD,Dahod,Dahod Gujarat,Western Railway,Gujarat,"Dahod, Gujarat, India",74.2606185,22.8344992
0,CNS,Chuchura,Chuchura West Bengal,Eastern Railway,West Bengal,"Chinsurah, West Bengal, India",88.3898552,22.9011588
0,COB,COOCH BEHAR,COOCH BEHAR West Bengal,North Frontier Railway,West Bengal,"Cooch Behar, West Bengal, India",89.4482079,26.3452397
0,NNA,Naugachia,Naugachia Bihar,East Central Railway,Bihar,"Naugachhia, Bihar 853204, India",87.0979867,25.387344
0,BNDA,Banda Jn,Banda Jn Uttar Pradesh,North Central Railway,Uttar Pradesh,"Banda, Uttar Pradesh 210001, India",80.3395498,25.4762689
0,BH,Bharuch Jn,Bharuch Jn Gujarat,Western Railway,Gujarat,"Bharuch, Gujarat, India",72.9958748,21.7051358
0,JBS,JADOLI KA BAS,JADOLI KA BAS Rajasthan,North Central Railway,Rajasthan,"Jadoli Ka Bas, Jadoli, Rajasthan 301021, India",76.88089,27.53947
0,SYM,SAVALYAPURAM,SAVALYAPURAM Andhra Pradesh,South Central Railway,Andhra Pradesh,"Savalyapuram, Andhra Pradesh 522646, India",79.8146656,16.1034296
0,PPW,PACHPERWA,PACHPERWA Uttar Pradesh,North Eastern Railway,Uttar Pradesh,"Pachperwa, Uttar Pradesh 271206, India",82.6461419,27.5181738
0,NZM,Kota Jn,Kota Jn Delhi,Northern Railway,Delhi,"Kota, Rajasthan, India",75.8647527,25.2138156
0,CNDM,Chandi Mandir,Chandi Mandir Haryana,Northern Railway,Haryana,"Chandi Mandir, Haryana, India",76.8922729,30.7285106
0,NIL,Nilambur Road,Nilambur Road Kerala,Southern Railway,Kerala,"Nilambur Road, Kerala, India",76.1448053,11.3354596
0,KAJG,Karanjgaon,Karanjgaon Maharashtra,South Central Railway,Maharashtra,"Karanjgaon, Maharashtra 422210, India",74.0718702,20.0135982
0,EVA,EDAVAI,EDAVAI Kerala,Southern Railway,Kerala,"Edava, Kerala, India",76.6959358,8.7645839
0,PMY,Pali Marwar,Pali Marwar Rajasthan,North Western Railway,Rajasthan,"Pali Marwar, Pali, Rajasthan 306401, India",73.3382006,25.7748303
0,MTT,Mutupet,Mutupet Tamil Nadu,Southern Railway,Tamil Nadu,"Muthupet, Tamil Nadu, India",79.4949884,10.3956993
0,MJBT,Majbat,Majbat Assam,North Frontier Railway,Assam,"Mazbat, Assam 784507, India",92.2923115,26.7909574
0,MPO,Manpur Jn,Manpur Jn Bihar,East Central Railway,Bihar,"Manpur, Bihar 823003, India",85.0247308,24.7986168
0,SAV,Savda,Savda Maharashtra,Central Railway,Maharashtra,"Savda, Maharashtra, India",75.8859349,21.1506344
0,RD,Bagevadi Rd,Bagevadi Rd Bihar,East Central Railway,Bihar,"Bihar, India",85.2722472,25.9644427
0,ASLU,ASLU,ASLU Rajasthan,North Western Railway,Rajasthan,"Lakhau, Rajasthan, India",75.0859356,28.3587117
0,BJKN,BAJEKAN,BAJEKAN Haryana,North Western Railway,Haryana,"Bajekan, Haryana 125055, India",75.103454,29.5067351
0,KKDE,Kurukshetra Jn,Kurukshetra Jn Haryana,Northern Railway,Haryana,"Kurukshetra, Haryana, India",76.878282,29.9695121
0,YPD,Yerpedu,Yerpedu Andhra Pradesh,South Central Railway,Andhra Pradesh,"Erpedu, Andhra Pradesh, India",79.5934577,13.6930918
0,JDL,Jagdevwala,Jagdevwala Rajasthan,North Western Railway,Rajasthan,"Jagdevwala, Rajasthan, India",73.4688797,28.3064985
0,BANE,Basni,Basni Rajasthan,North Western Railway,Rajasthan,"Basni, Rajasthan 341021, India",73.6449797,27.1697747
